,season,teamName,playerName,position,game_appear,game_lineups,game_minutes,shot_success_rate,duel_success_rate,dribble_success_rate,key_pass,pass_accura,fouls_drawn,label
381,2020,Elche,L. Boyé,Attacker,34.0,32.0,2708.0,0.16279069767441862,0.3474264705882353,0.5555555555555556,14.0,14.0,34.0,Normal
408,2021,Barcelona,S. Agüero,Attacker,4.0,2.0,151.0,0.2,0.5,0.5,1.0,9.0,2.0,Bad
1113,2022,Cadiz,M. Diarra,Attacker,2.0,1.0,66.0,0.0,0.4444444444444444,0.3333333333333333,0.0,4.0,1.0,Bad
1140,2022,Rayo Vallecano,Sergio Camello,Attacker,38.0,27.0,2412.0,0.09836065573770492,0.37320574162679426,0.3902439024390244,28.0,10.0,19.0,Normal
258,2020,Getafe,Mamor Niang,Attacker,1.0,0.0,21.0,0.0,0.4444444444444444,1.0,0.0,4.0,1.0,Bad
747,2021,Rayo Vallecano,Sergi Guardiola,Attacker,32.0,20.0,1715.0,0.2222222222222222,0.36231884057971014,0.65,15.0,8.0,29.0,Normal
1001,2022,Getafe,Jaime Mata,Attacker,18.0,5.0,428.0,0.08333333333333333,0.36470588235294116,0.4,6.0,4.0,7.0,Bad
172,2020,Real Madrid,E. Hazard,Attacker,14.0,7.0,532.0,0.3333333333333333,0.5588235294117647,0.6363636363636364,6.0,21.0,19.0,Good
71,2020,Valencia,Rubén Sobrino,Attacker,5.0,0.0,45.0,0.0,0.53,0.5151515151515151,11.0,11.0,29.0,Bad
664,2021,Real Sociedad,A. Sørloth,Attacker,33.0,20.0,1760.0,0.15384615384615385,0.4270833333333333,0.5757575757575758,23.0,10.0,14.0,Normal
681,2021,Granada CF,M. Uzuni,Attacker,15.0,9.0,858.0,0.09090909090909091,0.40476190476190477,0.4090909090909091,7.0,8.0,12.0,Normal
250,2020,Getafe,C. Hernández,Attacker,23.0,18.0,1474.0,0.09090909090909091,0.4163934426229508,0.6976744186046512,20.0,14.0,32.0,Normal
202,2020,Real Betis,N. Fekir,Attacker,33.0,33.0,2637.0,0.0847457627118644,0.4619666048237477,0.7203389830508474,52.0,30.0,93.0,Good
595,2021,Real Madrid,Rodrygo,Attacker,33.0,17.0,1526.0,0.14814814814814814,0.4607329842931937,0.46551724137931033,28.0,16.0,29.0,Normal
1050,2022,Real Sociedad,Barrenetxea,Attacker,23.0,9.0,872.0,0.17647058823529413,0.4624277456647399,0.576271186440678,9.0,11.0,14.0,Normal
740,2021,Rayo Vallecano,R. Falcao,Attacker,22.0,8.0,831.0,0.21428571428571427,0.4132231404958678,0.3,5.0,5.0,18.0,Normal
215,2020,Real Betis,Borja Iglesias,Attacker,28.0,15.0,1412.0,0.39285714285714285,0.4,0.47619047619047616,6.0,6.0,21.0,Normal
1071,2022,Valladolid,Sergi Guardiola,Attacker,14.0,8.0,505.0,0.0,0.40601503759398494,0.5714285714285714,9.0,12.0,21.0,Normal
185,2020,Alaves,Luis Rioja,Attacker,35.0,25.0,2099.0,0.25,0.45726495726495725,0.5555555555555556,26.0,10.0,28.0,Normal
633,2021,Real Betis,Juanmi,Attacker,33.0,26.0,2148.0,0.3404255319148936,0.44061302681992337,0.6744186046511628,19.0,11.0,15.0,Normal
1170,2022,Elche,Roger,Attacker,12.0,8.0,657.0,0.0,0.35,0.8,4.0,6.0,15.0,Bad
541,2021,Levante,Soldado,Attacker,18.0,7.0,662.0,0.1875,0.32075471698113206,0.42857142857142855,8.0,5.0,5.0,Normal
987,2022,Real Betis,Willian José,Attacker,28.0,6.0,711.0,0.11764705882352941,0.4125,0.3333333333333333,8.0,8.0,6.0,Normal
691,2021,Granada CF,M. Arezo,Attacker,8.0,1.0,156.0,0.0,0.4411764705882353,0.4,6.0,2.0,1.0,Bad
570,2021,Espanyol,Javi Puado,Attacker,30.0,26.0,2257.0,0.15384615384615385,0.3948497854077253,0.5454545454545454,21.0,17.0,25.0,Normal
550,2021,Levante,Jorge de Frutos,Attacker,25.0,20.0,1766.0,0.1111111111111111,0.3911290322580645,0.47368421052631576,22.0,11.0,21.0,Normal
242,2020,Getafe,Jaime Mata,Attacker,33.0,23.0,2040.0,0.15151515151515152,0.3439153439153439,0.2222222222222222,15.0,12.0,36.0,Normal
131,2020,Celta Vigo,Iago Aspas,Attacker,33.0,33.0,2871.0,0.32558139534883723,0.498220640569395,0.7058823529411765,64.0,29.0,53.0,Good
897,2022,Villarreal,Jorge Pascual,Attacker,2.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,Bad
689,2021,Granada CF,Jorge Molina,Attacker,35.0,19.0,1957.0,0.2631578947368421,0.4633333333333333,0.4117647058823529,31.0,9.0,39.0,Normal
328,2020,Cadiz,F. Malbašić,Attacker,28.0,8.0,846.0,0.0,0.33093525179856115,0.5384615384615384,4.0,3.0,15.0,Bad
1051,2022,Real Sociedad,Mikel Oyarzabal,Attacker,23.0,14.0,1216.0,0.26666666666666666,0.3597122302158273,0.3181818181818182,14.0,12.0,16.0,Normal
304,2020,Valladolid,K. Kodro,Attacker,14.0,4.0,453.0,0.0,0.4,1.0,0.0,2.0,1.0,Bad
41,2020,Athletic Club,Muniain,Attacker,28.0,23.0,1954.0,0.29411764705882354,0.5826446280991735,0.6721311475409836,35.0,29.0,69.0,Good
854,2022,Athletic Club,Nico Williams,Attacker,36.0,32.0,2674.0,0.13636363636363635,0.450402144772118,0.47398843930635837,46.0,16.0,35.0,Good
952,2022,Espanyol,Adri Embarba,Attacker,1.0,0.0,34.0,0.0,0.44368600682593856,0.43434343434343436,32.0,11.0,30.0,Bad
453,2021,Athletic Club,Asier Villalibre,Attacker,19.0,3.0,536.0,0.14285714285714285,0.5,0.8,3.0,4.0,13.0,Bad
688,2021,Granada CF,L. Suárez,Attacker,37.0,34.0,2857.0,0.13333333333333333,0.3907766990291262,0.5569620253164557,31.0,11.0,36.0,Normal
280,2020,Granada CF,Soldado,Attacker,29.0,16.0,1440.0,0.4090909090909091,0.2929936305732484,0.5,9.0,7.0,13.0,Normal
981,2022,Real Betis,N. Fekir,Attacker,15.0,12.0,965.0,0.1111111111111111,0.4863013698630137,0.42424242424242425,23.0,24.0,38.0,Normal
387,2020,Elche,Nino,Attacker,16.0,0.0,269.0,0.0,0.3448275862068966,0.5,2.0,6.0,6.0,Bad
594,2021,Real Madrid,E. Hazard,Attacker,18.0,7.0,712.0,0.0,0.6326530612244898,0.8064516129032258,27.0,19.0,30.0,Normal
951,2022,Espanyol,Raúl de Tomás,Attacker,0.0,0.0,0.0,0.0,0.45081967213114754,0.68,9.0,6.0,23.0,Bad
470,2021,Valencia,Hélder Costa,Attacker,22.0,13.0,1117.0,0.0,0.36923076923076925,0.39655172413793105,17.0,8.0,14.0,Normal
458,2021,Athletic Club,Nico Williams,Attacker,34.0,11.0,1324.0,0.0,0.4311111111111111,0.4888888888888889,16.0,8.0,23.0,Normal
751,2021,Rayo Vallecano,Bebé,Attacker,29.0,6.0,850.0,0.03225806451612903,0.44029850746268656,0.6041666666666666,15.0,6.0,16.0,Normal
843,2022,Athletic Club,Álex Berenguer,Attacker,37.0,26.0,2302.0,0.09090909090909091,0.42382271468144045,0.45,52.0,15.0,25.0,Normal
263,2020,Real Sociedad,Carlos Fernández,Attacker,11.0,4.0,388.0,0.16666666666666666,0.3333333333333333,0.4,6.0,6.0,9.0,Bad
463,2021,Valencia,Gonçalo Guedes,Attacker,36.0,30.0,2614.0,0.22,0.48476454293628807,0.5161290322580645,43.0,14.0,74.0,Good
848,2022,Athletic Club,Gorka Guruzeta,Attacker,30.0,17.0,1421.0,0.16666666666666666,0.3877551020408163,0.5263157894736842,14.0,9.0,14.0,Normal
1128,2022,Osasuna,Kike Barja,Attacker,27.0,15.0,1315.0,0.07142857142857142,0.4065934065934066,0.47435897435897434,26.0,10.0,14.0,Normal
306,2020,Valladolid,Fabián Orellana,Attacker,30.0,27.0,2153.0,0.25,0.37388724035608306,0.4142857142857143,32.0,17.0,57.0,Good
1008,2022,Getafe,Borja Mayoral,Attacker,35.0,33.0,2775.0,0.21052631578947367,0.3322784810126582,0.39655172413793105,22.0,16.0,38.0,Good
548,2021,Levante,Roger,Attacker,29.0,25.0,2124.0,0.16279069767441862,0.352059925093633,0.5,23.0,10.0,28.0,Normal
124,2020,Celta Vigo,Nolito,Attacker,36.0,35.0,2627.0,0.18421052631578946,0.43059490084985835,0.5454545454545454,35.0,19.0,41.0,Good
237,2020,Eibar,Kike García,Attacker,37.0,36.0,3105.0,0.16,0.4869942196531792,0.6666666666666666,26.0,15.0,92.0,Good
